Category,ID,Latitude,Longitude,Date,Orbit Number,Build ID,Scene ID,ECO4WUE_001_Water_Use_Efficiency_WUEavg
NMEG,US-Seg,34.3623,-106.702,2020-09-27 21:56:16 UTC,12637,601,5,1.8963882
NMEG,US-Seg,34.3623,-106.702,2020-09-30 21:10:57 UTC,12683,601,5,0.976005
NMEG,US-Seg,34.3623,-106.702,2020-10-01 20:23:56 UTC,12698,601,4,1.0505638
NMEG,US-Seg,34.3623,-106.702,2020-10-05 18:51:33 UTC,12759,601,4,2.0802369
NMEG,US-Seg,34.3623,-106.702,2020-10-09 17:18:16 UTC,12820,601,2,0.8770215
NMEG,US-Seg,34.3623,-106.702,2020-10-12 16:31:22 UTC,12866,601,4,0.8412718
NMEG,US-Seg,34.3623,-106.702,2020-10-13 15:44:12 UTC,12881,601,4,0.8066291
NMEG,US-Seg,34.3623,-106.702,2020-10-16 14:57:09 UTC,12927,601,4,0.5945244
NMEG,US-Seg,34.3623,-106.702,2020-10-17 14:10:01 UTC,12942,601,4,0.4702735
NMEG,US-Seg,34.3623,-106.702,2020-10-22 19:56:23 UTC,13023,601,12,1.1561787
NMEG,US-Seg,34.3623,-106.702,2020-10-30 16:47:52 UTC,13145,601,6,0.7601848
NMEG,US-Seg,34.3623,-106.702,2020-11-03 15:13:29 UTC,13206,601,6,0.1407401
NMEG,US-Seg,34.3623,-106.702,2020-11-24 23:18:23 UTC,13537,601,3,0.3602474
NMEG,US-Seg,34.3623,-106.702,2020-11-28 21:44:23 UTC,13598,601,2,0.4205641
NMEG,US-Seg,34.3623,-106.702,2020-12-02 20:11:02 UTC,13659,601,3,0.8687534
NMEG,US-Seg,34.3623,-106.702,2020-12-06 18:37:27 UTC,13720,601,2,0.2115284
NMEG,US-Seg,34.3623,-106.702,2020-12-24 18:56:23 UTC,13999,601,12,0.1232068
NMEG,US-Seg,34.3623,-106.702,2020-12-28 17:22:29 UTC,14060,601,9,0.1293981
NMEG,US-Ses,34.3349,-106.7442,2018-07-29 00:10:30 UTC,345,601,1,0.3345168
NMEG,US-Ses,34.3349,-106.7442,2018-08-04 21:20:21 UTC,452,601,3,0.5485498
NMEG,US-Ses,34.3349,-106.7442,2018-08-07 20:20:54 UTC,498,601,3,0.426021
NMEG,US-Ses,34.3349,-106.7442,2018-08-13 01:44:37 UTC,579,601,14,0.0377105
NMEG,US-Ses,34.3349,-106.7442,2018-08-14 17:30:33 UTC,605,601,3,0.2690305
NMEG,US-Ses,34.3349,-106.7442,2018-08-22 21:54:23 UTC,732,601,12,1.1265844
NMEG,US-Ses,34.3349,-106.7442,2018-09-08 15:13:02 UTC,992,601,7,0.1745145
NMEG,US-Ses,34.3349,-106.7442,2018-09-27 00:18:34 UTC,1278,601,3,0.3827724
NMEG,US-Ses,34.3349,-106.7442,2019-01-27 23:32:30 UTC,3190,601,4,0.2022512
NMEG,US-Ses,34.3349,-106.7442,2019-02-18 22:28:03 UTC,3531,601,6,0.2147532
NMEG,US-Ses,34.3349,-106.7442,2019-02-25 19:40:58 UTC,3638,601,6,0.1779337
NMEG,US-Ses,34.3349,-106.7442,2019-03-04 16:57:17 UTC,3745,601,6,0.2620232
NMEG,US-Ses,34.3349,-106.7442,2019-05-26 00:21:06 UTC,5024,601,4,0.6254971
NMEG,US-Ses,34.3349,-106.7442,2019-05-28 23:29:46 UTC,5070,601,5,0.6748369
NMEG,US-Ses,34.3349,-106.7442,2019-06-05 20:06:48 UTC,5192,601,4,0.7725474
NMEG,US-Ses,34.3349,-106.7442,2019-06-09 18:25:59 UTC,5253,601,2,0.5419116
NMEG,US-Ses,34.3349,-106.7442,2019-06-12 17:33:43 UTC,5299,601,2,0.4385283
NMEG,US-Ses,34.3349,-106.7442,2019-06-16 15:52:18 UTC,5360,601,2,0.369726
NMEG,US-Ses,34.3349,-106.7442,2019-06-20 14:11:18 UTC,5421,601,3,0.3135754
NMEG,US-Ses,34.3349,-106.7442,2019-06-21 21:30:05 UTC,5441,601,6,0.4981536
NMEG,US-Ses,34.3349,-106.7442,2019-06-25 19:48:07 UTC,5502,601,5,0.4995089
NMEG,US-Ses,34.3349,-106.7442,2019-07-02 17:14:47 UTC,5609,601,7,0.2985601
NMEG,US-Ses,34.3349,-106.7442,2019-07-10 13:53:53 UTC,5731,601,6,0.2214068
NMEG,US-Ses,34.3349,-106.7442,2019-07-13 13:02:30 UTC,5777,601,5,0.1501771
NMEG,US-Ses,34.3349,-106.7442,2019-07-23 01:31:22 UTC,5925,601,2,0.0566561
NMEG,US-Ses,34.3349,-106.7442,2019-08-10 17:57:38 UTC,6215,601,2,0.2055781
NMEG,US-Ses,34.3349,-106.7442,2019-08-13 17:05:56 UTC,6261,601,2,0.1397901
NMEG,US-Ses,34.3349,-106.7442,2019-08-14 16:17:17 UTC,6276,601,4,0.1388121
NMEG,US-Ses,34.3349,-106.7442,2019-08-17 15:26:46 UTC,6322,601,2,0.1747793
NMEG,US-Ses,34.3349,-106.7442,2019-08-19 21:57:45 UTC,6357,600,4,0.4950158
NMEG,US-Ses,34.3349,-106.7442,2019-08-23 20:19:32 UTC,6418,600,10,0.5306237
NMEG,US-Ses,34.3349,-106.7442,2019-09-03 16:13:36 UTC,6586,601,11,0.4911914
NMEG,US-Ses,34.3349,-106.7442,2019-09-07 14:34:48 UTC,6647,601,5,0.2942015
NMEG,US-Ses,34.3349,-106.7442,2019-09-11 12:56:20 UTC,6708,601,9,0.0151413
NMEG,US-Ses,34.3349,-106.7442,2019-10-05 19:51:56 UTC,7085,601,2,0.8549625
NMEG,US-Ses,34.3349,-106.7442,2019-10-09 18:14:39 UTC,7146,601,2,0.6838645
NMEG,US-Ses,34.3349,-106.7442,2019-10-17 15:00:07 UTC,7268,601,4,0.5014571
NMEG,US-Ses,34.3349,-106.7442,2019-10-20 14:10:16 UTC,7314,601,2,0.2468798
NMEG,US-Ses,34.3349,-106.7442,2019-10-22 20:41:42 UTC,7349,601,10,1.0267898
NMEG,US-Ses,34.3349,-106.7442,2019-10-26 19:04:06 UTC,7410,601,10,0.6627371
NMEG,US-Ses,34.3349,-106.7442,2019-10-30 17:26:53 UTC,7471,601,11,0.7965508
NMEG,US-Ses,34.3349,-106.7442,2019-11-02 16:37:21 UTC,7517,601,11,0.4664992
NMEG,US-Ses,34.3349,-106.7442,2019-12-01 21:09:46 UTC,7970,601,2,0.4005483
NMEG,US-Ses,34.3349,-106.7442,2019-12-18 22:00:51 UTC,8234,601,10,0.1992401
NMEG,US-Ses,34.3349,-106.7442,2019-12-21 21:12:36 UTC,8280,601,13,0.338869
NMEG,US-Ses,34.3349,-106.7442,2020-01-06 14:49:08 UTC,8524,601,10,0.1644259
NMEG,US-Ses,34.3349,-106.7442,2020-01-31 21:14:17 UTC,8916,601,2,0.262632
NMEG,US-Ses,34.3349,-106.7442,2020-02-08 18:07:16 UTC,9038,601,2,0.1399498
NMEG,US-Ses,34.3349,-106.7442,2020-02-14 23:07:17 UTC,9134,601,8,0.3474593
NMEG,US-Ses,34.3349,-106.7442,2020-02-18 21:33:42 UTC,9195,601,13,0.2837786
NMEG,US-Ses,34.3349,-106.7442,2020-02-26 18:26:26 UTC,9317,601,8,0.2871456
NMEG,US-Ses,34.3349,-106.7442,2020-03-09 13:45:01 UTC,9500,601,8,0.1693296
NMEG,US-Ses,34.3349,-106.7442,2020-04-03 20:19:13 UTC,9892,601,2,0.5399956
NMEG,US-Ses,34.3349,-106.7442,2020-04-07 18:47:33 UTC,9953,601,2,0.616707
NMEG,US-Ses,34.3349,-106.7442,2020-04-11 17:15:42 UTC,10014,601,2,0.652161
NMEG,US-Ses,34.3349,-106.7442,2020-04-15 15:44:40 UTC,10075,601,3,0.6450003
NMEG,US-Ses,34.3349,-106.7442,2020-04-17 22:18:41 UTC,10110,601,10,0.5958716
NMEG,US-Ses,34.3349,-106.7442,2020-04-21 20:45:24 UTC,10171,601,11,0.5429569
NMEG,US-Ses,34.3349,-106.7442,2020-04-29 17:37:06 UTC,10293,601,10,0.5519574
NMEG,US-Ses,34.3349,-106.7442,2020-05-03 16:02:50 UTC,10354,601,5,0.5325516
NMEG,US-Ses,34.3349,-106.7442,2020-05-21 01:37:40 UTC,10624,601,2,0.3841169
NMEG,US-Ses,34.3349,-106.7442,2020-05-25 00:03:13 UTC,10685,601,2,0.5437014
NMEG,US-Ses,34.3349,-106.7442,2020-05-28 22:28:45 UTC,10746,601,2,0.5610589
NMEG,US-Ses,34.3349,-106.7442,2020-06-01 20:54:23 UTC,10807,601,2,0.5504591
NMEG,US-Ses,34.3349,-106.7442,2020-06-08 01:52:54 UTC,10903,601,13,0.1391021
NMEG,US-Ses,34.3349,-106.7442,2020-06-09 17:45:20 UTC,10929,601,2,0.4567058
