"block","year","water_year","GPP_avg","GPP_total","P_avg","P_total","P_acc","LAI_mod","VPD","S","Tair","Tsoil","PPFD_IN","WUE","GPP_avg_yr","GPP_total_yr","month","Season","B_WUE","SD_WUE","SE_WUE","B_WUE.wght","SD_WUE.wght","SE_WUE.wght"
66,2018,2018,0.263937308589617,1.84756116012732,0,0,7.874,0.904214285714286,0.617166539051418,0.0823670779591757,2.60872450620567,-0.689120305485984,12912.1906590391,NA,1.67409008555664,609.368791142617,12,"Winter",2.66952251430357,0.79554314037689,0.0159357637911195,0.704586587644673,0.209973515338008,0.00420604260534796
67,2018,2018,0.208731330278229,1.4611193119476,0.50381,3.52667,11.40067,0.903164285714286,0.308901746428571,0.0926054890653737,-0.155576794642857,0.0278578092491072,12187.797026332,NA,1.67409008555664,609.368791142617,1,"Winter",2.52725507867602,0.783603877361366,0.0155946486810461,0.527517314524454,0.163562679732816,0.00325509176441638
68,2018,2018,0.150554468076403,1.05388127653482,0.0907371428571429,0.63516,12.03583,0.806523214285714,0.402185888392857,0.0812398124344877,-0.222070714285714,-1.09482286893165,15171.6991370854,NA,1.67409008555664,609.368791142617,1,"Winter",2.37036611772968,0.776649164418852,0.015179392292429,0.35686921000112,0.116928001831063,0.00228532533230969
69,2018,2018,0.141469721221935,0.990288048553542,1.64408142857143,11.50857,23.5444,0.781492857142857,0.322630729464286,0.0818763859274862,-3.70906220833334,-0.600678893380853,15596.7153713464,NA,1.67409008555664,609.368791142617,1,"Winter",2.2265941382986,0.744861435259418,0.0140436347593188,0.314995652019496,0.10537533959512,0.0019867490943435
70,2018,2018,0.244693704362811,1.71285593053968,0.0924942857142857,0.64746,24.19186,0.8064625,0.567927383630952,0.082219826319029,2.90626506845238,-0.773634937729068,17800.2338542411,NA,1.67409008555664,609.368791142617,1,"Winter",2.07123904750334,0.707356945739169,0.0123961002230884,0.506819155154493,0.173085791359681,0.00303324768324018
71,2018,2018,0.458602438716874,3.21021707101812,0.0510228571428571,0.35716,24.54902,0.8003,0.481453039583333,0.103445714175587,2.6050287797619,0.202897139953075,18307.4544767011,NA,1.67409008555664,609.368791142617,2,"Winter",1.96509757416318,0.627935635754336,0.010722230200286,0.901198539827846,0.287972813914169,0.00491724091833489
72,2018,2018,0.191851175408246,1.34295822785772,0.0881928571428571,0.61735,25.16637,0.7557,0.257705367559524,0.116359073863311,-0.791610535714286,0.160474514890873,13485.2088069653,NA,1.67409008555664,609.368791142617,2,"Winter",1.80862197205005,0.619929696469998,0.0100782234050211,0.346986251206982,0.118934240938246,0.0019335190062802
73,2018,2018,0.201248503431323,1.40873952401926,1.83777857142857,12.86445,38.03082,0.760758928571429,0.193769875,0.137694297119439,-3.70399515476191,0.169141491180556,15553.9591500653,NA,1.67409008555664,609.368791142617,2,"Winter",1.4943336090153,0.676511051725217,0.0105746160113182,0.300732402441456,0.13614683671445,0.00212812564663869
74,2018,2018,0.118792562620783,0.83154793834548,0.549585714285714,3.8471,41.87792,0.857576785714286,0.326387552083333,0.111306376754495,-3.05481486011905,-0.0490379269742064,22371.8005355944,NA,1.67409008555664,609.368791142617,2,"Winter",1.68254028628609,0.629937202837432,0.00910967549160433,0.199873272320631,0.0748318546152264,0.00108216169629142
75,2018,2018,0.383110554193071,2.6817738793515,0,0,41.87792,0.841439285714286,0.575162078273809,0.150277606881731,1.3311062797619,0.266992134344048,24470.0608862231,NA,1.67409008555664,609.368791142617,3,"Winter",1.8944038721278,0.551852837319439,0.00692271794621101,0.72576611731638,0.211420646338469,0.00265216630889522
76,2018,2018,0.5185785222945,3.6300496560615,1.17308571428571,8.2116,50.08952,0.889807142857143,0.278677197321429,0.246237799037533,0.731176964285715,1.72907705414137,19342.849507346,NA,1.67409008555664,609.368791142617,3,"Winter",2.1303066521735,0.462610527837371,0.0044808040227379,1.10473127571828,0.239899883923783,0.00232364872880267
77,2018,2018,1.24089942935258,8.68629600546804,0.80283,5.61981,55.70933,0.810673214285714,0.431832216071428,0.247188579749,1.06107220238095,2.23658072013532,22237.9024340929,NA,1.67409008555664,609.368791142617,3,"Winter",2.23143624857847,0.372066949420924,0.00283822123710132,2.76898796749768,0.461697665217378,0.0035219471134954
78,2018,2018,2.07722611130981,14.5405827791687,1.51449714285714,10.60148,66.31081,0.9154375,0.395349906547619,0.240651863206895,1.11304738392857,3.09741321251058,24964.1052848429,NA,1.67409008555664,609.368791142617,3,"Winter",2.59198042628442,0.321920924190324,0.00210378052084348,5.38412942148193,0.668702549505127,0.00437002783036103
